n°opus,titre,nb de pages,Genre,Instruments,piano 1 voix,Durée<br>en mn,  Poème de,Poème<br>Texte,Année,Ref SACEM,Observations,date SACEM,note max,Editeur,Extrait,Partition<br>éditée,Partition<br>manuscrite,Doc,dispon,Observations,Ajouter le manuscrit sur le site,Manuscrit illisible,Refaire gravure,Ajouter Gravure Olivier
28,Vers le printemps,3,Mélodie,piano<br>soprano,1,3,Louis Le  Cardonnel,versprintemps,1923,266266,"Hiver, hiver, comment briser",,fa#,,,,28_VERS_LE_PRINTEMPS_manuscrit.pdf,3M,M,,,,,G+T
29,Attente Mystique n°1,5,Mélodie,piano<br>soprano,1,5,Louis Le  Cardonnel,attentemystique,1937,308068,O mon Dieu je reviens d'un long voyage amer,,fa,Edition Mutuelle<br>(Schola Cantorum),29_Attente_Mystique_1.mp3,29_L_ATTENTE_MYSTIQUE_1_edite.pdf,29_L_ATTENTE_MYSTIQUE_1_manuscrit.pdf,M+E,M+E,,,,,
29bis,Attente Mystique n°1,,Orchestre<br>Mélodie,,version orchestrale,,Louis Le  Cardonnel,attentemystique,,(non),"le même, avec10 instruments",,,,,,,M,,,M,,,
30,Attente Mystique n°2,5,Mélodie,piano<br>soprano,1,5,Louis Le  Cardonnel,attentemystique,1937,308069,"Je cherche vos desseins, ô Maître, ",,sol,Edition Mutuelle<br>(Schola Cantorum),,30_L_ATTENTE_MYSTIQUE_2_edite.pdf,,M+E,E,,M,,,
30bis,Attente Mystique n°2,,Orchestre<br>Mélodie,,version orchestrale,,Louis Le  Cardonnel,attentemystique,,(non),"le même, avec10 instruments",,,,,,,M,,Pas de parties séparées,M,,,
31,Attente Mystique n°3,4,Mélodie,piano<br>soprano,1,4,Louis Le  Cardonnel,attentemystique,1937,308070,Ceux qui vous ont trouvée     (durée 4 mn 20),,fa,,,,31_L_ATTENTE_MYSTIQUE_3_manuscrit.pdf,M+G,M,,,,G,
31bis,Attente Mystique n°3,,Orchestre<br>Mélodie,,version orchestrale,,Louis Le  Cardonnel,attentemystique,,(non),"le même, avec10 instruments",,,,,,,M,,Pas de parties séparées,M,,G,
32,La poursuite divine,"4,5",Mélodie,piano<br>soprano,1,4,Louis Le  Cardonnel,poursuitedivine,,2033661911,dont 1 ex primitif avec corrections au crayon,2001,sol,,,,,M,,,M,,G,
33,Invocation d'automne,6,Mélodie,piano<br>soprano,1,5,Louis Le  Cardonnel,invocationautomne,,2033255211,dont 1 ex primitif avec corrections au crayon,2002,fa,,,,33_Invocation_D_Automne_manuscrit.pdf,M,M,,,,G,
35,Nox,,Ensemble vocal,soprano<br>alto<br>piano,3 voix + solo,,Leconte de Lisle,nox,1934,(non),3 voix de femme +un solo; durée 5mn,,,,,,35_NOX_manuscrit.pdf,M,M,,,,,G
36,Chanson<br>(J'ai dit à mon coeur...),"3,5",Mélodie,piano<br>soprano,1,3,Alfred de Musset,chanson,1916,2079791411,J'ai dit à mon coeur. Corrections au crayon.,2003,fa,,,,36_CHANSON_manuscrit.pdf,M,M,,,,G,
37,Tristesse,2,Mélodie,piano<br>soprano,1,2,Alfred de Musset,tristesse,1916,(non),manuscrit très médiocre,,sol,,,,,M,,Manuscrit incomplet,M,,,
38,Rondel,3,Mélodie,piano<br>soprano,1,3,Charles d'Orléans ,rondel,1916,(sans n°),dédié à sa grand'mère. Ecriture trés jeune.,,sol,E. Fromont,38_Rondel.mp3,38_RONDEL_edite.pdf,38_RONDEL_CharlesOrleans_manuscrit.pdf,M+E,M+E,,,,,
39,Prière,3,Mélodie<br>Religieuse,piano<br>soprano,1,3,Abbé  Perreyve ,priere,,2079797611,Vierge sainte ,2003,fa,,,,39_PRIERE_ABBE_PEYRENE_manuscrit.pdf,4M,M,39b,M,,G,
39bis,Prière,3,Mélodie,Orgue<br>soprano,version avec orgue,3,Abbé  Perreyve ,priere,,(non),Vierge sainte ,,fa,,40_Au_bord_de_l_eau.mp3,,,2M,,39a1 39a2,MM,,,
40,Au bord de l'eau,"2,5",Mélodie,piano<br>soprano,1,2, Sully Prud'homme,auborddeleau,,9971437311,S'asseoir tous les deux. Ecriture trés jeune,2002,fa,,,,,M,,,M,,G,
41,En deuil,"2,5",Mélodie,piano<br>soprano,1,2, Sully Prud'homme ,endeuil,,9971437411,C'est en deuil surtout que je l'aime,2002,sol,,,,,M+G,,,M,,G,
42,"Elégie<br>(Je ne vous parlerai,,, )",6,Mélodie,piano<br>soprano,1,5,Henri de Régnier,elegie,,2039288111,Je ne vous parlerai,2002,fa,,,,,M+G,,,M,,G,
43,"Elégie<br>(Je ne vous parlerai,,, )",,Orchestre<br>Mélodie,,version orchestrale,,Henri de Régnier,elegie,,(non),le même avec 8 instruments,,,,,,,M,,,M,,G,
44,"Invocation<br>(Pour que la nuit soit douce,,, )",4,Mélodie,piano<br>soprano,1,4,Henri de Régnier,invocationregnier,,2055079311,Pour que la nuit... Ecriture très jeune. Corrections au crayon,2003,<fa,,,,,M,,beaucoup de crayon,M,,G,
45,La colline,"4,5",Mélodie,piano<br>soprano,1,4,Henri de Régnier,colline,,2039289711,Cette colline est belle (2ex),,fa,,,,45_LA_COLLINE_manuscrit.pdf,M,M,,M,,,
46,Le secret<br>(Prends garde si tu veux…),5,Mélodie,piano<br>soprano,1,5,Henri de Régnier,secret,,2037700611,Prends garde si tu veux,2001,fa,,,,,M+G,,,M,,G,
47,Le vrai sage<br>est celui,6,Mélodie,piano<br>soprano,1,5,Henri de Régnier,vraisage,,2039290211,2ex. manuscrits,2001,fa,,,,,M+G,,,M,,G,
48,Les sources,4,Mélodie,piano<br>soprano,1,4,Henri de Régnier,sources,1916,201721,Comme de sources invisibles,,<fa,P. Hurstel,,48_LES_SOURCES_edite.pdf,,M+E,E,,M,,,
49,Hier on parlait<br>de choses et d'autres,,Mélodie,piano<br>soprano,1,2,Paul Verlaine,hieronparlait,1916,201719,dédiée à Yv. Ducrocq,,fa#,P. Hurstel,,49_HIER_ON_PARLAIT_edite.pdf,,M+E,E,,,,,G
50,Tous deux<br>(Donc ce sera par un clair jour),"2,5",Mélodie,piano<br>soprano,1,3,Paul Verlaine,donccesera,1916,997143711,Donc ce sera par un clair jour... Ecriture très jeune.,2002,sol,,,,50_TousDeux_manuscrit.pdf,M,M,,E,,,
51,Chanson<br>(Quand la belle s'en fut au bois),,Mélodie,piano<br>soprano,1,2,Gabriel  Vicaire ,chansonvicaire,1916,201951,Quand la belles'en fut,,sol,J. Hamelle,,,,E,,,M,,G,
52,Paysage,"2,5",Mélodie,piano<br>soprano,1,2,Gabriel  Vicaire ,paysage,1916,2079799711,oeuvre de jeunesse,2003,fa#,,,,,M,,,M,,G,
54,Dans la forêt<br>chauve et rouillée,2,Mélodie,piano<br>soprano,1,2,Théophile Gautier,foretchauve,1916,(non),oeuvre de jeunesse (dédiée à Tte Mario). Corrections au crayon,,<fa,,,,,M,,,M,,G,
55,Ô douce nuit<br>de printemps,2,Mélodie,piano<br>soprano,1,2,Abbé  Perreyve ,doucenuit,1919,223715,oeuvre de jeunesse (dédiée à Tante Ma),,<fa,,,,55_O_DOUCE_NUIT_manuscrit.pdf,M,M,,,,,G+T
56,La vie est courte<br>comme un jour,3,Mélodie,piano<br>soprano,1,3,Henri Warnery,lavieestcourte,,9971437211,,2002,<fa,,,,,M,,,M,,,
57,Soir<br>(Voici que les jardins ...),5,Mélodie,piano<br>soprano,1,5,Albert Samain,soir,1916,2026627611,oeuvre de jeunesse,2002,fa#,,,,,M,,,M,,G,
58,Le calme divin de la nuit,3,Mélodie,piano<br>soprano,1,3,?,calmedivin,,2079802311,oeuvre de jeunesse,2003,fa,,,,,M,,,M,,G,
61,Danse,2,Pièce,piano,,1mn,,,1916,201721,Il existe une version Danse de Chloris,,,Hurstel,,61_DANSE_POUR_PIANO_SORGESE_edite.pdf,,E,E,P. Sorgèse,,,,
64,Danse comme les autres,4,Sonate,piano,,3mn,,,,2092747601,,2003,,Roudanez,64_DanseCommeLesAutres.mp3,64_DANSE_COMME_LES_AUTRES_edite.pdf,,E,E,, ,,,
65,Dernières lueurs sur la mer,3,Pièce,piano,,3mn,,,,501634,,,,H. Lemoine,65_DernieresLueursSurLaMer.mp3,68_65_Deux_pieces_piano_edite.pdf,,E,E,,,,,
66,Elévation,2,Pièce,piano,,1mn,,,,(non),,,,,,,66_Elevation-piano_manuscrit.pdf,M,M,,,,,
67,Fleurs d'été,"3,5",Pièce,piano,,3mn,,,1916,201721,,,,Hurstel,,67_FLEURS_D_ETE_POUR_PIANO_edite.pdf,67_Fleurs-d-ete-piano_manuscrit.pdf,E,E,,,,,
68,Impression d'été,3,Pièce,piano,,3mn,,justorumanimae,,542595,,,,H. Lemoine,68_Impressions_d_ete_complet.mp3,68_65_Deux_pieces_piano_edite.pdf,,E,E,,,,,
69,In memoriam,4,Pièce,piano,,3mn,,,,(non),,,,,,,69_In-memoriam-piano_manuscrit.pdf,M,M,,,,,
70,Jeux d'enfants,4,Pièce,piano,,3mn,,,,500763,,,,,70_Jeux_d_enfants.mp3,70_JEUX_D_ENFANTS_grave.pdf,70_JEUX_D_ENFANTS_manuscrit.pdf,M+G,M,,,,,
71,Justorum animae,,Religieuse<br>Ensemble vocal,orgue<br>chœur<br>orchestre,,8mn,,,,(non),,,,,,,71_Justorum-animae_manuscrit.pdf,M,M,,,,,
72,Marche,4,Pièce,piano,,3mn,,,1916,201721,,,,Hurstel,,72_MARCHE_POUR_PIANO_edite.pdf,,E,E,,,,,
73,Nocturne,3,Pièce,piano,,2mn,,,,(non),,,,,,,73_Nocturne-piano_manuscrit.pdf,M,M,,,,,
74,Pastiche,3,Pièce,piano,,2mn,,,1916,201721,,,,Hurstel,,74_PASTICHE_POUR_PIANO_edite.pdf,,E,E,,,,,
75,Pastorale,3,Pièce,harmonium,,2mn,,,,(non),,,,,,,75_Pastorale-harmonium_manuscrit.pdf,M,M,,,,,
76,Prélude et fugue,10,Prélude & fugue,orgue,,~7mn,,,,472452,,,,Hérelle,,76_PRELUDE_ET_FUGUE_orgue_edite.pdf,,E,E,"aujourd'hui éditions Combre, bd Poissonnière",,,,
77,Prière,2,Pièce,piano,,2mn,,,,(non),,,,,,,77_Priere_manuscrit.pdf,M,M,,,,,
78,Printemps,3,Pièce,piano,,2mn,,,1916,201721,,,,Hurstel,,78_PRINTEMPS_POUR_PIANO_edite.pdf,,E,E,,,,,
79,Quatuor,6,Musique de chambre,violon<br>alto<br> violoncelle,,3mn,,,,,,,,,,,79_Quatuor-cordes_manuscrit.pdf,M,M,70  mesures,,,,
80,Quintette en sol mineur,82,Musique de chambre,violon<br>alto<br>violoncelle<br>piano,,20mn,,,1932,385606,,,,,80_Quintette.mp3,80_QUINTETTE_PIANO_CORDES_EDITE.pdf,80_QUINTETTE_PIANO_CORDES_manuscrit.pdf,G,G,,,,,
81,Salve Regina,3,Religieuse<br>Ensemble vocal,soprano<br>contralto,,5mn,,salveregina,,(non),,,,,,,81_Salve-Regina_manuscrit.pdf,M,M,3 voix sans accompagnement,,,,
82,Sonate en ré mineur,46,Musique de chambre,piano<br>violon,,24 mn,,,1936,472453,,,,,82_Sonate_PianoViolon.mp3,82_SONATE_VP_complete_grave.pdf,,G,G,,,,,
83,Sonate en mi b majeur,35,Musique de chambre,piano<br>violoncelle,,19 mn,,,1927,318775,,,,,83_Sonate_Piano_Violoncelle.mp3,83_SONATE_PIANO_VIOLONCELLE_grave.pdf,83_SONATE_VIOLONCELLE_PIANO_manuscr.pdf,G,G,,,,,
84,Sonate en la b majeur,25,Sonate,piano,,18 mn,,,1928,337534,,,,,84_Sonate_Piano_complet.mp3,84_SONATE_LA_BEMOL_PIANO_grave.pdf,/84_SONATE_LA_BEMOL_PIANO_manuscrit.pdf,G,,,,,,
85,Sortie,3,Pièce,orgue,,2mn,,,1916,201721,,,,Hurstel,,85_SORTIE_POUR_ORGUE_edite.pdf,,E,E,,,,,
86,Sous-bois,1,Pièce,piano,,1mn,,,1897,(non),,,,,,,,M,,oeuvre d'enfant (8 ans),,,,
87,Valse,7,Pièce,piano,,6mn,,,1916,201721,,,,Hurstel,87_valse.pdf,87_VALSE_POUR_PIANO_edite.pdf,,E,E,P. Sorgèse,,,,
88,Interlude,2,Pièce,piano,,1mn,,,,,,,,,,,,M,,,,,,
89,Sortie,2,Pièce,piano,,1mn,,,,,,,,,,,,M,,Discordance entre les manuscrits,,,,
90,Andantino,3,Pièce,piano seul,,2mn,,,,,,,,,,,,M,,,,,,
91,Panis Angelicus,3,Religieuse<br>Mélodie,Soprano<br>piano<br>orgue,,3mn,,panisangelicus,,,,,,,,,91_Panis-angelicus_manuscrit.pdf,M,M,,,,,
